id;phieu_dieu_phoi_id;nhu_yeu_pham_id;so_luong;created_at;updated_at
1;12235;17053;22092;2024-12-09T15:04:36;2024-12-09T04:55:11
2;30514;21573;467;2024-12-09T14:14:53;2024-12-08T22:16:55
3;13579;17004;5768;2024-12-09T09:33:28;2024-12-09T02:36:33
4;10441;6838;12826;2024-12-09T10:07:12;2024-12-08T22:18:21
5;21730;7513;7026;2024-12-09T11:18:34;2024-12-08T20:16:29
6;28765;3862;26365;2024-12-08T18:40:50;2024-12-09T04:00:58
7;13659;22640;23895;2024-12-08T16:19:47;2024-12-09T14:59:10
8;29606;13551;3499;2024-12-08T20:53:18;2024-12-09T05:57:04
9;14052;11045;16192;2024-12-08T20:52:59;2024-12-09T06:35:16
10;29216;5340;8411;2024-12-09T02:12:01;2024-12-09T10:32:05
