id;ten_loai;mo_ta;created_at;updated_at
1;notwithstanding gah;down unto jot;2024-12-09T07:48:04;2024-12-09T03:06:22
2;greatly gosh descendant;dramatize;2024-12-09T15:52:40;2024-12-08T20:43:39
3;tomography brr;upon flowery phooey;2024-12-09T01:12:20;2024-12-09T08:40:16
4;only;yuck behind;2024-12-08T20:07:33;2024-12-08T21:58:10
5;norm;incidentally afford inasmuch;2024-12-09T02:58:30;2024-12-09T12:11:50
6;license after;pish despite;2024-12-09T13:02:41;2024-12-09T13:11:28
7;why oof failing;truly yum;2024-12-09T01:39:44;2024-12-09T13:37:54
8;courageously questionably;behind nerve;2024-12-08T19:55:50;2024-12-09T11:08:42
9;afraid steel physically;following jazz pigsty;2024-12-09T04:53:43;2024-12-08T20:16:21
10;tenant of spook;near hover monumental;2024-12-09T08:32:14;2024-12-08T18:43:42
