id;ten_loai;created_at;updated_at
1;armoire;2024-12-09T02:03:07;2024-12-09T07:33:14
2;highly travel;2024-12-09T10:10:49;2024-12-09T04:29:24
3;secondary CD;2024-12-09T11:23:27;2024-12-09T04:59:55
4;down elegantly;2024-12-08T21:24:49;2024-12-09T10:15:37
5;austere now starch;2024-12-09T10:50:30;2024-12-09T05:55:49
6;list finger bossy;2024-12-09T10:18:33;2024-12-08T19:35:29
7;commodity;2024-12-09T13:11:18;2024-12-09T15:02:59
8;rim off eek;2024-12-09T01:36:37;2024-12-08T18:02:20
9;impressionable vice lest;2024-12-09T14:18:03;2024-12-09T00:54:46
10;and mechanic;2024-12-09T04:40:38;2024-12-09T06:08:04
