id;ten_loai_thien_tai;mo_ta;created_at;updated_at
1;pish;triangular;2024-12-08T20:18:30;2024-12-08T18:24:43
2;sharply psst;what phew;2024-12-08T19:27:12;2024-12-09T10:09:48
3;through syringe;queasily;2024-12-08T22:18:13;2024-12-08T21:39:10
4;of ugh after;hunger pace;2024-12-09T06:38:54;2024-12-09T06:12:51
5;wherever;boo even;2024-12-09T04:23:31;2024-12-08T21:52:43
6;to pfft abnormally;boohoo;2024-12-09T06:08:47;2024-12-09T10:12:43
7;essential;heavily;2024-12-09T03:46:19;2024-12-08T19:15:26
8;monthly than;mixed aha on;2024-12-09T09:51:33;2024-12-09T11:19:26
9;coexist numeric doting;piglet huzzah;2024-12-08T16:26:50;2024-12-09T08:40:36
10;um repurpose;yowza fail foolish;2024-12-09T08:46:22;2024-12-09T14:46:18
