id;ten_nhu_yeu_pham;don_vi_tinh;loai_nhu_yeu_pham_id;muc_canh_bao;created_at;updated_at
1;slowly up runny;assail obnoxiously viability;22657;26784;2024-12-09T01:55:53;2024-12-09T07:08:33
2;on scale aha;whoever innocently except;29821;25601;2024-12-09T15:44:57;2024-12-08T22:38:16
3;council gee super;except;15209;5377;2024-12-08T19:35:17;2024-12-09T00:34:25
4;bah flimsy extroverted;astride naturally vastly;13431;17065;2024-12-09T08:57:14;2024-12-08T19:45:31
5;enthusiastically;incidentally punctually;5170;25781;2024-12-09T15:02:03;2024-12-09T05:13:36
6;scram tarry whoa;polished;29202;22501;2024-12-09T09:16:28;2024-12-09T14:35:34
7;of ew;french;24078;421;2024-12-08T18:03:36;2024-12-09T01:14:47
8;loftily;what;13626;2444;2024-12-09T12:45:25;2024-12-09T15:40:47
9;before painfully underneath;given phooey;11280;5035;2024-12-09T07:08:51;2024-12-08T16:35:12
10;questioningly mid misappropriate;lazily extricate drat;21317;5032;2024-12-09T07:04:19;2024-12-08T19:59:03
