id;nha_cung_cap_id;nguoi_nhan_id;tinh_nguyen_vien_id;trang_thai_id;thoi_gian_den;thoi_gian_cho;created_at;updated_at
1;27742;9342;20008;28727;2024-12-09T03:39:54;2024-12-08T23:25:02;2024-12-09T01:51:13;2024-12-08T19:33:15
2;699;14441;19447;2054;2024-12-08T19:24:28;2024-12-08T21:44:29;2024-12-09T11:07:16;2024-12-09T10:41:31
3;28912;17756;21609;3952;2024-12-08T23:01:15;2024-12-09T12:09:41;2024-12-09T01:04:10;2024-12-09T13:07:23
4;16525;18079;19024;23324;2024-12-08T22:00:03;2024-12-08T22:34:47;2024-12-09T13:51:43;2024-12-09T15:47:27
5;31885;17466;20773;19861;2024-12-09T14:51:45;2024-12-08T23:46:12;2024-12-09T13:03:34;2024-12-09T08:10:35
6;27267;24841;1552;22861;2024-12-09T07:01:04;2024-12-09T09:36:48;2024-12-09T05:44:06;2024-12-09T15:19:42
7;19600;20223;10697;32503;2024-12-09T06:28:48;2024-12-09T05:05:50;2024-12-09T04:58:59;2024-12-08T20:28:18
8;19516;15028;20816;30148;2024-12-09T10:12:34;2024-12-08T17:30:07;2024-12-09T04:24:56;2024-12-08T19:34:28
9;11851;32297;3031;15491;2024-12-09T01:08:42;2024-12-09T05:12:46;2024-12-08T22:38:18;2024-12-08T19:18:24
10;2176;29854;2993;30097;2024-12-08T22:58:55;2024-12-08T18:44:22;2024-12-09T06:13:08;2024-12-09T07:53:58
