id;ten_trang_thai;mo_ta;created_at;updated_at
1;demob;vicinity;2024-12-09T01:16:23;2024-12-09T11:55:36
2;repossess;now;2024-12-09T13:46:36;2024-12-09T00:02:33
3;winding;mmm;2024-12-09T01:16:37;2024-12-08T19:20:30
4;hm of slake;tenement briefly;2024-12-09T12:36:07;2024-12-08T21:43:37
5;wearily heighten malfunction;than;2024-12-09T03:35:36;2024-12-09T03:07:32
6;gosh almost;how affect spherical;2024-12-08T23:49:48;2024-12-09T11:03:07
7;cassava;vestment mobilise mammoth;2024-12-09T00:07:46;2024-12-08T21:24:07
8;during;inasmuch;2024-12-08T20:42:37;2024-12-09T02:00:14
9;since;lost so;2024-12-09T02:51:48;2024-12-08T16:17:10
10;although;habit infinite zany;2024-12-08T22:08:42;2024-12-09T04:37:00
