id;ten_vung;lat;lng;loai_thien_tai_id;so_dan;created_at;updated_at
1;pleasure reschedule charm;19748.84;22669.32;23762;1875;2024-12-08T16:46:32;2024-12-09T10:42:24
2;ick inconsequential;11700.37;25624.12;13007;8421;2024-12-08T16:52:46;2024-12-09T13:33:23
3;understated;12237.48;10416.85;7249;11547;2024-12-09T10:34:26;2024-12-08T18:37:10
4;meaningfully government correctly;32351.91;20516.67;3563;17698;2024-12-09T15:17:42;2024-12-09T15:33:00
5;arcade;14799.62;28621.89;1416;8679;2024-12-09T12:22:22;2024-12-09T13:29:30
6;who stitcher patroller;26442.09;15851.84;9173;2820;2024-12-09T15:47:23;2024-12-09T06:09:42
7;pertinent yowza oh;13908;18464.71;11571;4292;2024-12-09T09:03:15;2024-12-09T00:45:54
8;greedily;6175.93;22804.92;12481;25510;2024-12-08T21:52:19;2024-12-08T17:13:35
9;wise wide-eyed rubric;12980.07;13848.22;52;6147;2024-12-09T12:31:30;2024-12-08T16:12:55
10;overproduce;11170.93;24869.78;31802;25619;2024-12-09T11:57:33;2024-12-09T01:29:02
