Latitude,Longitude
0.0,100.0
0.0,100.52
0.0,101.04
0.0,101.56
0.0,102.08
0.0,102.6
0.0,103.12
0.0,103.64
0.0,104.16
0.0,104.68
0.0,105.2
0.0,105.72
0.0,106.24
0.0,106.76
0.0,107.28
0.0,107.8
0.0,108.32
0.0,108.84
0.0,109.36
0.0,109.88
0.0,110.4
0.0,110.92
0.0,111.44
0.0,111.96
0.0,112.48
0.0,113.0
0.0,113.52
0.0,114.04
0.0,114.56
0.0,115.08
0.0,115.6
0.0,116.12
0.0,116.64
0.0,117.16
0.0,117.68
0.0,118.2
0.0,118.72
0.0,119.24
0.0,119.76
0.0,120.28
0.0,120.8
0.0,121.32
0.0,121.84
0.45,100.0
0.45,100.52
0.45,101.04
0.45,101.56
0.45,102.08
0.45,102.6
0.45,103.12
0.45,103.64
0.45,104.16
0.45,104.68
0.45,105.2
0.45,105.72
0.45,106.24
0.45,106.76
0.45,107.28
0.45,107.8
0.45,108.32
0.45,108.84
0.45,109.36
0.45,109.88
0.45,110.4
0.45,110.92
0.45,111.44
0.45,111.96
0.45,112.48
0.45,113.0
0.45,113.52
0.45,114.04
0.45,114.56
0.45,115.08
0.45,115.6
0.45,116.12
0.45,116.64
0.45,117.16
0.45,117.68
0.45,118.2
0.45,118.72
0.45,119.24
0.45,119.76
0.45,120.28
0.45,120.8
0.45,121.32
0.45,121.84
0.9,100.0
0.9,100.52
0.9,101.04
0.9,101.56
0.9,102.08
0.9,102.6
0.9,103.12
0.9,103.64
0.9,104.16
0.9,104.68
0.9,105.2
0.9,105.72
0.9,106.24
0.9,106.76
0.9,107.28
0.9,107.8
0.9,108.32
0.9,108.84
0.9,109.36
0.9,109.88
0.9,110.4
0.9,110.92
0.9,111.44
0.9,111.96
0.9,112.48
0.9,113.0
0.9,113.52
0.9,114.04
0.9,114.56
0.9,115.08
0.9,115.6
0.9,116.12
0.9,116.64
0.9,117.16
0.9,117.68
0.9,118.2
0.9,118.72
0.9,119.24
0.9,119.76
0.9,120.28
0.9,120.8
0.9,121.32
0.9,121.84
1.35,100.0
1.35,100.52
1.35,101.04
1.35,101.56
1.35,102.08
1.35,102.6
1.35,103.12
1.35,103.64
1.35,104.16
1.35,104.68
1.35,105.2
1.35,105.72
1.35,106.24
1.35,106.76
1.35,107.28
1.35,107.8
1.35,108.32
1.35,108.84
1.35,109.36
1.35,109.88
1.35,110.4
1.35,110.92
1.35,111.44
1.35,111.96
1.35,112.48
1.35,113.0
1.35,113.52
1.35,114.04
1.35,114.56
1.35,115.08
1.35,115.6
1.35,116.12
1.35,116.64
1.35,117.16
1.35,117.68
1.35,118.2
1.35,118.72
1.35,119.24
1.35,119.76
1.35,120.28
1.35,120.8
1.35,121.32
1.35,121.84
1.8,100.0
1.8,100.52
1.8,101.04
1.8,101.56
1.8,102.08
1.8,102.6
1.8,103.12
1.8,103.64
1.8,104.16
1.8,104.68
1.8,105.2
1.8,105.72
1.8,106.24
1.8,106.76
1.8,107.28
1.8,107.8
1.8,108.32
1.8,108.84
1.8,109.36
1.8,109.88
1.8,110.4
1.8,110.92
1.8,111.44
1.8,111.96
1.8,112.48
1.8,113.0
1.8,113.52
1.8,114.04
1.8,114.56
1.8,115.08
1.8,115.6
1.8,116.12
1.8,116.64
1.8,117.16
1.8,117.68
1.8,118.2
1.8,118.72
1.8,119.24
1.8,119.76
1.8,120.28
1.8,120.8
1.8,121.32
1.8,121.84
2.25,100.0
2.25,100.52
2.25,101.04
2.25,101.56
2.25,102.08
2.25,102.6
2.25,103.12
2.25,103.64
2.25,104.16
2.25,104.68
2.25,105.2
2.25,105.72
2.25,106.24
2.25,106.76
2.25,107.28
2.25,107.8
2.25,108.32
2.25,108.84
2.25,109.36
2.25,109.88
2.25,110.4
2.25,110.92
2.25,111.44
2.25,111.96
2.25,112.48
2.25,113.0
2.25,113.52
2.25,114.04
2.25,114.56
2.25,115.08
2.25,115.6
2.25,116.12
2.25,116.64
2.25,117.16
2.25,117.68
2.25,118.2
2.25,118.72
2.25,119.24
2.25,119.76
2.25,120.28
2.25,120.8
2.25,121.32
2.25,121.84
2.7,100.0
2.7,100.52
2.7,101.04
2.7,101.56
2.7,102.08
2.7,102.6
2.7,103.12
2.7,103.64
2.7,104.16
2.7,104.68
2.7,105.2
2.7,105.72
2.7,106.24
2.7,106.76
2.7,107.28
2.7,107.8
2.7,108.32
2.7,108.84
2.7,109.36
2.7,109.88
2.7,110.4
2.7,110.92
2.7,111.44
2.7,111.96
2.7,112.48
2.7,113.0
2.7,113.52
2.7,114.04
2.7,114.56
2.7,115.08
2.7,115.6
2.7,116.12
2.7,116.64
2.7,117.16
2.7,117.68
2.7,118.2
2.7,118.72
2.7,119.24
2.7,119.76
2.7,120.28
2.7,120.8
2.7,121.32
2.7,121.84
3.15,100.0
3.15,100.52
3.15,101.04
3.15,101.56
3.15,102.08
3.15,102.6
3.15,103.12
3.15,103.64
3.15,104.16
3.15,104.68
3.15,105.2
3.15,105.72
3.15,106.24
3.15,106.76
3.15,107.28
3.15,107.8
3.15,108.32
3.15,108.84
3.15,109.36
3.15,109.88
3.15,110.4
3.15,110.92
3.15,111.44
3.15,111.96
3.15,112.48
3.15,113.0
3.15,113.52
3.15,114.04
3.15,114.56
3.15,115.08
3.15,115.6
3.15,116.12
3.15,116.64
3.15,117.16
3.15,117.68
3.15,118.2
3.15,118.72
3.15,119.24
3.15,119.76
3.15,120.28
3.15,120.8
3.15,121.32
3.15,121.84
3.6,100.0
3.6,100.52
3.6,101.04
3.6,101.56
3.6,102.08
3.6,102.6
3.6,103.12
3.6,103.64
3.6,104.16
3.6,104.68
3.6,105.2
3.6,105.72
3.6,106.24
3.6,106.76
3.6,107.28
3.6,107.8
3.6,108.32
3.6,108.84
3.6,109.36
3.6,109.88
3.6,110.4
3.6,110.92
3.6,111.44
3.6,111.96
3.6,112.48
3.6,113.0
3.6,113.52
3.6,114.04
3.6,114.56
3.6,115.08
3.6,115.6
3.6,116.12
3.6,116.64
3.6,117.16
3.6,117.68
3.6,118.2
3.6,118.72
3.6,119.24
3.6,119.76
3.6,120.28
3.6,120.8
3.6,121.32
3.6,121.84
4.05,100.0
4.05,100.52
4.05,101.04
4.05,101.56
4.05,102.08
4.05,102.6
4.05,103.12
4.05,103.64
4.05,104.16
4.05,104.68
4.05,105.2
4.05,105.72
4.05,106.24
4.05,106.76
4.05,107.28
4.05,107.8
4.05,108.32
4.05,108.84
4.05,109.36
4.05,109.88
4.05,110.4
4.05,110.92
4.05,111.44
4.05,111.96
4.05,112.48
4.05,113.0
4.05,113.52
4.05,114.04
4.05,114.56
4.05,115.08
4.05,115.6
4.05,116.12
4.05,116.64
4.05,117.16
4.05,117.68
4.05,118.2
4.05,118.72
4.05,119.24
4.05,119.76
4.05,120.28
4.05,120.8
4.05,121.32
4.05,121.84
4.5,100.0
4.5,100.52
4.5,101.04
4.5,101.56
4.5,102.08
4.5,102.6
4.5,103.12
4.5,103.64
4.5,104.16
4.5,104.68
4.5,105.2
4.5,105.72
4.5,106.24
4.5,106.76
4.5,107.28
4.5,107.8
4.5,108.32
4.5,108.84
4.5,109.36
4.5,109.88
4.5,110.4
4.5,110.92
4.5,111.44
4.5,111.96
4.5,112.48
4.5,113.0
4.5,113.52
4.5,114.04
4.5,114.56
4.5,115.08
4.5,115.6
4.5,116.12
4.5,116.64
4.5,117.16
4.5,117.68
4.5,118.2
4.5,118.72
4.5,119.24
4.5,119.76
4.5,120.28
4.5,120.8
4.5,121.32
4.5,121.84
4.95,100.0
4.95,100.52
4.95,101.04
4.95,101.56
4.95,102.08
4.95,102.6
4.95,103.12
4.95,103.64
4.95,104.16
4.95,104.68
4.95,105.2
4.95,105.72
4.95,106.24
4.95,106.76
4.95,107.28
4.95,107.8
4.95,108.32
4.95,108.84
4.95,109.36
4.95,109.88
4.95,110.4
4.95,110.92
4.95,111.44
4.95,111.96
4.95,112.48
4.95,113.0
4.95,113.52
4.95,114.04
4.95,114.56
4.95,115.08
4.95,115.6
4.95,116.12
4.95,116.64
4.95,117.16
4.95,117.68
4.95,118.2
4.95,118.72
4.95,119.24
4.95,119.76
4.95,120.28
4.95,120.8
4.95,121.32
4.95,121.84
5.4,100.0
5.4,100.52
5.4,101.04
5.4,101.56
5.4,102.08
5.4,102.6
5.4,103.12
5.4,103.64
5.4,104.16
5.4,104.68
5.4,105.2
5.4,105.72
5.4,106.24
5.4,106.76
5.4,107.28
5.4,107.8
5.4,108.32
5.4,108.84
5.4,109.36
5.4,109.88
5.4,110.4
5.4,110.92
5.4,111.44
5.4,111.96
5.4,112.48
5.4,113.0
5.4,113.52
5.4,114.04
5.4,114.56
5.4,115.08
5.4,115.6
5.4,116.12
5.4,116.64
5.4,117.16
5.4,117.68
5.4,118.2
5.4,118.72
5.4,119.24
5.4,119.76
5.4,120.28
5.4,120.8
5.4,121.32
5.4,121.84
5.85,100.0
5.85,100.52
5.85,101.04
5.85,101.56
5.85,102.08
5.85,102.6
5.85,103.12
5.85,103.64
5.85,104.16
5.85,104.68
5.85,105.2
5.85,105.72
5.85,106.24
5.85,106.76
5.85,107.28
5.85,107.8
5.85,108.32
5.85,108.84
5.85,109.36
5.85,109.88
5.85,110.4
5.85,110.92
5.85,111.44
5.85,111.96
5.85,112.48
5.85,113.0
5.85,113.52
5.85,114.04
5.85,114.56
5.85,115.08
5.85,115.6
5.85,116.12
5.85,116.64
5.85,117.16
5.85,117.68
5.85,118.2
5.85,118.72
5.85,119.24
5.85,119.76
5.85,120.28
5.85,120.8
5.85,121.32
5.85,121.84
6.3,100.0
6.3,100.52
6.3,101.04
6.3,101.56
6.3,102.08
6.3,102.6
6.3,103.12
6.3,103.64
6.3,104.16
6.3,104.68
6.3,105.2
6.3,105.72
6.3,106.24
6.3,106.76
6.3,107.28
6.3,107.8
6.3,108.32
6.3,108.84
6.3,109.36
6.3,109.88
6.3,110.4
6.3,110.92
6.3,111.44
6.3,111.96
6.3,112.48
6.3,113.0
6.3,113.52
6.3,114.04
6.3,114.56
6.3,115.08
6.3,115.6
6.3,116.12
6.3,116.64
6.3,117.16
6.3,117.68
6.3,118.2
6.3,118.72
6.3,119.24
6.3,119.76
6.3,120.28
6.3,120.8
6.3,121.32
6.3,121.84
6.75,100.0
6.75,100.52
6.75,101.04
6.75,101.56
6.75,102.08
6.75,102.6
6.75,103.12
6.75,103.64
6.75,104.16
6.75,104.68
6.75,105.2
6.75,105.72
6.75,106.24
6.75,106.76
6.75,107.28
6.75,107.8
6.75,108.32
6.75,108.84
6.75,109.36
6.75,109.88
6.75,110.4
6.75,110.92
6.75,111.44
6.75,111.96
6.75,112.48
6.75,113.0
6.75,113.52
6.75,114.04
6.75,114.56
6.75,115.08
6.75,115.6
6.75,116.12
6.75,116.64
6.75,117.16
6.75,117.68
6.75,118.2
6.75,118.72
6.75,119.24
6.75,119.76
6.75,120.28
6.75,120.8
6.75,121.32
6.75,121.84
7.2,100.0
7.2,100.52
7.2,101.04
7.2,101.56
7.2,102.08
7.2,102.6
7.2,103.12
7.2,103.64
7.2,104.16
7.2,104.68
7.2,105.2
7.2,105.72
7.2,106.24
7.2,106.76
7.2,107.28
7.2,107.8
7.2,108.32
7.2,108.84
7.2,109.36
7.2,109.88
7.2,110.4
7.2,110.92
7.2,111.44
7.2,111.96
7.2,112.48
7.2,113.0
7.2,113.52
7.2,114.04
7.2,114.56
7.2,115.08
7.2,115.6
7.2,116.12
7.2,116.64
7.2,117.16
7.2,117.68
7.2,118.2
7.2,118.72
7.2,119.24
7.2,119.76
7.2,120.28
7.2,120.8
7.2,121.32
7.2,121.84
7.65,100.0
7.65,100.52
7.65,101.04
7.65,101.56
7.65,102.08
7.65,102.6
7.65,103.12
7.65,103.64
7.65,104.16
7.65,104.68
7.65,105.2
7.65,105.72
7.65,106.24
7.65,106.76
7.65,107.28
7.65,107.8
7.65,108.32
7.65,108.84
7.65,109.36
7.65,109.88
7.65,110.4
7.65,110.92
7.65,111.44
7.65,111.96
7.65,112.48
7.65,113.0
7.65,113.52
7.65,114.04
7.65,114.56
7.65,115.08
7.65,115.6
7.65,116.12
7.65,116.64
7.65,117.16
7.65,117.68
7.65,118.2
7.65,118.72
7.65,119.24
7.65,119.76
7.65,120.28
7.65,120.8
7.65,121.32
7.65,121.84
8.1,100.0
8.1,100.52
8.1,101.04
8.1,101.56
8.1,102.08
8.1,102.6
8.1,103.12
8.1,103.64
8.1,104.16
8.1,104.68
8.1,105.2
8.1,105.72
8.1,106.24
8.1,106.76
8.1,107.28
8.1,107.8
8.1,108.32
8.1,108.84
8.1,109.36
8.1,109.88
8.1,110.4
8.1,110.92
8.1,111.44
8.1,111.96
